name	mod	context	context_source	default	live	seen	english	russian
key.hypertube.tube_escape	create_hypertube	UNIVERSAL	assumed		key.keyboard.left.shift	options	Hypertube Escape Button	
key.immersiveengineering.chemthrowerSwitch	immersiveengineering	UNIVERSAL	assumed		key.keyboard.unknown	options	Switch Chemthrower Tanks	Сменить резервуары химического распылителя
key.immersiveengineering.magnetEquip	immersiveengineering	UNIVERSAL	assumed		key.keyboard.s	options	Magnetic Shield Glove (doubletap)	Электромагнитная перчатка (дважды кликните)
key.immersiveengineering.railgunZoom	immersiveengineering	UNIVERSAL	assumed		key.mouse.middle	options	Zoom with the Railgun	Войти в режим прицеливания на Рельсотроне
key.industrialforegoing.backpack.desc	industrialforegoing	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Infinity Backpack	Открыть бесконечный рюкзак
key.industrialization_overdrive.terminal_mode_switch	industrialization_overdrive	UNIVERSAL	assumed		key.keyboard.v	options		
key.integrateddynamics.logic_programmer_focus_search	integrateddynamics	GUI	bytecode		key.keyboard.f:ALT	options	Focus Search Logic Programmer	Фокус поиска в Логическом программисте
key.integrateddynamics.logic_programmer_open_rename	integrateddynamics	GUI	bytecode		key.keyboard.r:ALT	options	Rename Variable Logic Programmer	Переименовать переменную в Логическом программисте
key.integratedterminals.terminal.craftinggrid.balance	integratedterminals	GUI	bytecode		key.keyboard.b	options	Balance Crafting Grid	Балансировка сетки крафта
key.integratedterminals.terminal.craftinggrid.clearplayer	integratedterminals	GUI	bytecode		key.keyboard.c:SHIFT	options	Clear Crafting Grid into Inventory	Очистить сетку крафта в инвентарь
key.integratedterminals.terminal.craftinggrid.clearstorage	integratedterminals	GUI	bytecode		key.keyboard.c	options	Clear Crafting Grid into Storage	Очистить сетку крафта в хранилище
key.integratedterminals.terminal.portable.open	integratedterminals	IN_GAME	bytecode		key.keyboard.c	options	Open first Portable Storage Terminal	Открыть первый портативный терминал хранения
key.integratedterminals.terminal.tab.next	integratedterminals	GUI	bytecode		key.keyboard.tab	options	Go to next terminal tab	Перейти на следующую вкладку терминала
key.integratedterminals.terminal.tab.previous	integratedterminals	GUI	bytecode		key.keyboard.tab:SHIFT	options	Go to previous terminal tab	Перейти на предыдущую вкладку терминала
key.inventory	minecraft	UNIVERSAL	assumed		key.keyboard.e	options		
key.invtweaks_sort_either.desc	invtweaks	GUI	bytecode		key.mouse.middle	options	Sort Inventory Under Cursor	Сортировка инвентаря под курсором
key.invtweaks_sort_inventory.desc	invtweaks	GUI	bytecode		key.keyboard.grave.accent	options	Sort External Inventory	Сортировка внешнего инвентаря
key.invtweaks_sort_player.desc	invtweaks	GUI	bytecode		key.keyboard.backslash	options	Sort Player Inventory	Сортировка инвентаря игрока
key.irons_spellbooks.spell_bar_modifier	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.left.alt	options	Spell Bar Scroll Modifier	Прокрутка панели заклинаний колёсиком мыши
key.irons_spellbooks.spell_quick_cast_1	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 01	Слот быстрого заклинания 01
key.irons_spellbooks.spell_quick_cast_10	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 10	Слот быстрого заклинания 10
key.irons_spellbooks.spell_quick_cast_11	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 11	Слот быстрого заклинания 11
key.irons_spellbooks.spell_quick_cast_12	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 12	Слот быстрого заклинания 12
key.irons_spellbooks.spell_quick_cast_13	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 13	Слот быстрого заклинания 13
key.irons_spellbooks.spell_quick_cast_14	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 14	Слот быстрого заклинания 14
key.irons_spellbooks.spell_quick_cast_15	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 15	Слот быстрого заклинания 15
key.irons_spellbooks.spell_quick_cast_2	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 02	Слот быстрого заклинания 02
key.irons_spellbooks.spell_quick_cast_3	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 03	Слот быстрого заклинания 03
key.irons_spellbooks.spell_quick_cast_4	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 04	Слот быстрого заклинания 04
key.irons_spellbooks.spell_quick_cast_5	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 05	Слот быстрого заклинания 05
key.irons_spellbooks.spell_quick_cast_6	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 06	Слот быстрого заклинания 06
key.irons_spellbooks.spell_quick_cast_7	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 07	Слот быстрого заклинания 07
key.irons_spellbooks.spell_quick_cast_8	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 08	Слот быстрого заклинания 08
key.irons_spellbooks.spell_quick_cast_9	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Cast Slot 09	Слот быстрого заклинания 09
key.irons_spellbooks.spell_wheel	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.r	options	Spell Wheel Hold	Открыть панель заклинаний
